file	date	line_shape	line_no	category	disposition	rationale
.claude/agents/moai/manager-spec.md	2026-05-25	LS-OTHER	5	DC-5	REMOVE	M2 adjudicated REMOVE - internal catalog-consolidation work date, not a public citation
.claude/agents/moai/plan-auditor.md	2026-05-20	LS-OTHER	376	DC-5	REMOVE	M2 adjudicated REMOVE - internal plan-phase incident date; date literal only, the adjacent internal SPEC-ID token is outside the S1-internal-date class scope
.claude/agents/moai/plan-auditor.md	2026-11-22	LS-OTHER	55	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/agents/moai/plan-auditor.md	2026-11-22	LS-OTHER	74	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/output-styles/moai/moai-learn.md	2026-04-11	LS-OTHER	170	DC-5	PRESERVE	M2 adjudicated PRESERVE - illustrative filename in a naming-convention example, carries no internal development state
.claude/rules/moai/development/skill-authoring.md	2026-01-28	LS-FM-FENCED	89	DC-5	PRESERVE	M2 adjudicated PRESERVE - frontmatter schema example inside a fenced block; deleting the value would require the placeholder substitution REQ-TDN-007 forbids
.claude/rules/moai/development/skill-authoring.md	2026-01-28	LS-OTHER	45	DC-5	PRESERVE	M2 adjudicated PRESERVE - frontmatter schema example in prose; same REQ-TDN-007 rationale as line 89
.claude/rules/moai/development/spec-frontmatter-schema.md	2026-05-16	LS-OTHER	197	DC-5	PRESERVE	M2 adjudicated PRESERVE - deliberate anti-pattern example (snake_case alias); same REQ-TDN-007 rationale
.claude/rules/moai/development/spec-frontmatter-schema.md	2026-05-16	LS-OTHER	198	DC-5	PRESERVE	M2 adjudicated PRESERVE - deliberate anti-pattern example (snake_case alias); same REQ-TDN-007 rationale
.claude/rules/moai/NOTICE.md	2026-04-26	LS-OTHER	18	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/NOTICE.md	2026-04-26	LS-OTHER	91	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/NOTICE.md	2026-04-28	LS-OTHER	47	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/NOTICE.md	2026-04-28	LS-OTHER	92	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/NOTICE.md	2026-06-15	LS-OTHER	78	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/NOTICE.md	2026-06-15	LS-OTHER	93	DC-4	PRESERVE	REQ-TDN-008 - attribution record in rules/moai/NOTICE.md; carved out by the M4 file-path structural gate
.claude/rules/moai/workflow/archived-agent-rejection.md	2026-05-25	LS-FM	7	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-domain-backend/SKILL.md	2026-01-11	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-domain-backend/SKILL.md	2026-01-11	LS-PROSE-STAMP	145	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-domain-database/SKILL.md	2026-01-11	LS-PROSE-STAMP	202	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-domain-database/SKILL.md	2026-04-25	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-domain-frontend/SKILL.md	2026-03-28	LS-FM	22	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-domain-frontend/SKILL.md	2026-03-28	LS-PROSE-STAMP	151	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-domain-humanize/SKILL.md	2026-07-24	LS-FM	24	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-domain-svg-infographic/SKILL.md	2026-07-24	LS-FM	23	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-foundation-cc/reference/advanced-agent-patterns.md	2026-01-06	LS-PROSE-STAMP	16	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-cli-reference-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-devcontainers-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-discover-plugins-official.md	2026-01-06	LS-PROSE-STAMP	5	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-headless-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-plugin-marketplaces-official.md	2026-01-06	LS-PROSE-STAMP	5	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-plugins-official.md	2026-01-06	LS-PROSE-STAMP	7	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-plugins-official.md	2026-07-03	LS-OTHER	570	DC-5	PRESERVE	M2 adjudicated PRESERVE - mirror-capture annotation on a third-party doc mirror; same staleness-signal rationale as the REQ-TDN-011 DC-2b set
.claude/skills/moai-foundation-cc/reference/claude-code-sandboxing-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-skills-official.md	2026-01-06	LS-PROSE-STAMP	5	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-statusline-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-sub-agents-official.md	2026-01-06	LS-PROSE-STAMP	4	DC-2b	PRESERVE	REQ-TDN-011 - mirror-capture stamp, the sole staleness signal for a third-party document mirror; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-cc/reference/claude-code-sub-agents-official.md	2026-07-03	LS-OTHER	31	DC-5	PRESERVE	M2 adjudicated PRESERVE - mirror-capture annotation on a third-party doc mirror; same staleness-signal rationale as the REQ-TDN-011 DC-2b set
.claude/skills/moai-foundation-cc/SKILL.md	2026-01-06	LS-OTHER	243	DC-5	REMOVE	M2 adjudicated REMOVE - skill-internal version-history authoring date
.claude/skills/moai-foundation-cc/SKILL.md	2026-01-11	LS-FM	21	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai-foundation-cc/SKILL.md	2026-01-11	LS-OTHER	242	DC-5	REMOVE	M2 adjudicated REMOVE - skill-internal version-history authoring date; REQ-TDN-022 dual-shape conflict with the DC-1 frontmatter row at line 21 sharing date 2026-01-11, resolved per REQ-TDN-019 by applying each row disposition independently (line 242 deleted, line 21 preserved)
.claude/skills/moai-foundation-cc/SKILL.md	2026-07-03	LS-OTHER	108	DC-5	PRESERVE	M2 adjudicated PRESERVE - official-doc verification-capture stamp; the date is the reader staleness signal for the doc-lag caveat
.claude/skills/moai-foundation-cc/SKILL.md	2026-07-03	LS-OTHER	66	DC-5	PRESERVE	M2 adjudicated PRESERVE - official-doc verification-capture stamp; the date is the reader staleness signal for the doc-lag caveat
.claude/skills/moai-foundation-core/modules/commands-reference.md	2026-11-22	LS-OTHER	102	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai-foundation-core/modules/delegation-advanced.md	2026-01-06	LS-PROSE-STAMP	279	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/delegation-advanced.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/delegation-implementation.md	2026-01-06	LS-PROSE-STAMP	266	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/delegation-implementation.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/delegation-patterns.md	2026-01-06	LS-PROSE-STAMP	228	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/delegation-patterns.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/modular-system.md	2026-01-21	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/modular-system.md	2026-01-21	LS-PROSE-STAMP	666	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-foundation-core/modules/spec-ddd-implementation.md	2026-01-17	LS-PROSE-STAMP	294	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
