File Path,Category,Lines,Current Tag,Proposed Tag,Priority,Est Hours,Batch,Status
docs/index.md,root,141,UNTAGGED,@DOC:INDEX-MAIN-001,HIGH,1,1,Quick Win
docs/introduction.md,root,125,@DOC:INTRO-001,✓ COMPLETE,,0,,Complete
docs/workflow.md,root,118,@DOC:WORKFLOW-001,✓ COMPLETE,,0,,Complete
docs/security-scanning.md,root,116,@DOC:SECURITY-001,✓ COMPLETE,,0,,Complete
docs/MULTILINGUAL-MENUS.md,root,263,UNTAGGED,@DOC:CONFIG-MULTILING-001,MEDIUM,1.5,7,Misc
docs/skills-optimization-phase2-3-report.md,root,397,UNTAGGED,@DOC:STATUS-OPTIM-001,MEDIUM,1.5,7,Misc
docs/status/sync-report.md,status,272,UNTAGGED,@DOC:STATUS-SYNC-001,HIGH,2,1,Quick Win
agents/overview.md,agents,55,UNTAGGED,@DOC:AGENT-OVERVIEW-001,HIGH,1,1,Quick Win
agents/cc-manager.md,agents,21,@DOC:AGENT-CC-001,✓ COMPLETE,,0,,Complete
agents/code-builder.md,agents,26,@DOC:AGENT-CODE-001,✓ COMPLETE,,0,,Complete
agents/debug-helper.md,agents,21,@DOC:AGENT-DEBUG-001,✓ COMPLETE,,0,,Complete
agents/doc-syncer.md,agents,26,@DOC:AGENT-DOC-001,✓ COMPLETE,,0,,Complete
agents/git-manager.md,agents,92,@DOC:AGENT-GIT-001,✓ COMPLETE,,0,,Complete
agents/implementation-planner.md,agents,37,@DOC:AGENT-IMPL-PLANNER-001,✓ COMPLETE,,0,,Complete
agents/project-manager.md,agents,21,@DOC:AGENT-PM-001,✓ COMPLETE,,0,,Complete
agents/quality-gate.md,agents,45,@DOC:AGENT-QUALITY-GATE-001,✓ COMPLETE,,0,,Complete
agents/spec-builder.md,agents,26,@DOC:AGENT-SPEC-001,✓ COMPLETE,,0,,Complete
agents/tag-agent.md,agents,21,@DOC:AGENT-TAG-001,✓ COMPLETE,,0,,Complete
agents/tdd-implementer.md,agents,36,@DOC:AGENT-TDD-IMPL-001,✓ COMPLETE,,0,,Complete
agents/trust-checker.md,agents,21,@DOC:AGENT-TRUST-001,✓ COMPLETE,,0,,Complete
api-reference/agents.md,api,37,UNTAGGED,@DOC:API-AGENTS-001,HIGH,1,1,Quick Win
api-reference/core-git.md,api,24,@DOC:API-GIT-001,✓ COMPLETE,,0,,Complete
api-reference/core-installer.md,api,24,@DOC:API-INSTALLER-001,✓ COMPLETE,,0,,Complete
api-reference/core-tag.md,api,24,@DOC:API-TAG-001,✓ COMPLETE,,0,,Complete
api-reference/core-template.md,api,24,@DOC:API-TEMPLATE-001,✓ COMPLETE,,0,,Complete
commands/cli.md,commands,76,UNTAGGED,@DOC:CMD-CLI-INTRO-001,HIGH,1.5,1,Quick Win
commands/agent-commands.md,commands,80,@DOC:CMD-AGENT-001,✓ COMPLETE,,0,,Complete
commands/alfred-commands.md,commands,99,@DOC:CMD-ALFRED-001,✓ COMPLETE,,0,,Complete
commands/cli-reference.md,commands,112,@DOC:CMD-CLI-001,✓ COMPLETE,,0,,Complete
configuration/advanced-settings.md,config,122,@DOC:CONFIG-ADV-001,✓ COMPLETE,,0,,Complete
configuration/config-json.md,config,177,@DOC:CONFIG-JSON-001,✓ COMPLETE,,0,,Complete
configuration/personal-vs-team.md,config,94,@DOC:CONFIG-MODE-001,✓ COMPLETE,,0,,Complete
contributing/code-style.md,contrib,12,@DOC:CONTRIB-STYLE-001,✓ COMPLETE,,0,,Complete
contributing/development-setup.md,contrib,20,@DOC:CONTRIB-DEV-001,✓ COMPLETE,,0,,Complete
contributing/overview.md,contrib,18,@DOC:CONTRIB-OVERVIEW-001,✓ COMPLETE,,0,,Complete
contributing/pull-request-process.md,contrib,12,@DOC:CONTRIB-PR-001,✓ COMPLETE,,0,,Complete
contributing/testing.md,contrib,12,@DOC:CONTRIB-TEST-001,✓ COMPLETE,,0,,Complete
getting-started/first-project.md,start,144,@DOC:START-FIRST-001,✓ COMPLETE,,0,,Complete
getting-started/installation.md,start,167,@DOC:START-INSTALL-001,✓ COMPLETE,,0,,Complete
getting-started/quick-start.md,start,126,@DOC:START-QUICK-001,✓ COMPLETE,,0,,Complete
guides/architecture.md,guides,124,UNTAGGED,@DOC:GUIDE-ARCH-ARCHITECTURE-001,HIGH,2,3,Architecture
guides/agents/overview.md,guides,705,UNTAGGED,@DOC:GUIDE-ARCH-AGENTS-001,HIGH,4,3,Architecture
guides/concepts/ears-guide.md,guides,314,UNTAGGED,@DOC:GUIDE-CONCEPT-EARS-001,MEDIUM,2,4,Concepts
guides/concepts/skills-revolution.md,guides,98,UNTAGGED,@DOC:GUIDE-CONCEPT-SKILLS-001,MEDIUM,1.5,4,Concepts
guides/concepts/spec-first-tdd.md,guides,773,UNTAGGED,@DOC:GUIDE-CONCEPT-SPEC-001,CRITICAL,5,4,Concepts
guides/concepts/tag-system.md,guides,646,UNTAGGED,@DOC:GUIDE-CONCEPT-TAG-001,CRITICAL,5,4,Concepts
guides/concepts/trust-principles.md,guides,554,UNTAGGED,@DOC:GUIDE-CONCEPT-TRUST-001,CRITICAL,4,4,Concepts
guides/examples/index.md,guides,114,UNTAGGED,@DOC:GUIDE-TUTORIAL-INDEX-001,MEDIUM,1,6,Tutorial
guides/examples/todo-app/index.md,guides,361,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-001,MEDIUM,2,6,Tutorial
guides/examples/todo-app/01-project-init.md,guides,731,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-INIT-001,MEDIUM,4,6,Tutorial
guides/examples/todo-app/02-spec-writing.md,guides,837,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-SPEC-001,MEDIUM,4,6,Tutorial
guides/examples/todo-app/03-backend-tdd.md,guides,988,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-BACKEND-001,MEDIUM,5,6,Tutorial
guides/examples/todo-app/04-frontend-impl.md,guides,871,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-FRONTEND-001,MEDIUM,5,6,Tutorial
guides/examples/todo-app/05-sync-deploy.md,guides,1003,UNTAGGED,@DOC:GUIDE-TUTORIAL-TODOAPP-DEPLOY-001,MEDIUM,5,6,Tutorial
guides/hooks/overview.md,guides,526,UNTAGGED,@DOC:GUIDE-HOOKS-OVERVIEW-001,HIGH,4,3,Architecture
guides/workflow/overview.md,guides,111,UNTAGGED,@DOC:GUIDE-WORKFLOW-OVERVIEW-001,CRITICAL,1.5,5,Workflow
guides/workflow/0-project.md,guides,2544,UNTAGGED,@DOC:GUIDE-WORKFLOW-INIT-001,CRITICAL,8,5,Workflow
guides/workflow/1-plan.md,guides,122,UNTAGGED,@DOC:GUIDE-WORKFLOW-PLAN-001,CRITICAL,1.5,5,Workflow
guides/workflow/2-run.md,guides,108,UNTAGGED,@DOC:GUIDE-WORKFLOW-RUN-001,CRITICAL,1,5,Workflow
guides/workflow/3-sync.md,guides,103,UNTAGGED,@DOC:GUIDE-WORKFLOW-SYNC-001,CRITICAL,1,5,Workflow
guides/workflow/9-update.md,guides,1715,UNTAGGED,@DOC:GUIDE-WORKFLOW-UPDATE-001,CRITICAL,6,5,Workflow
hooks/custom-hooks.md,hooks,17,@DOC:HOOK-CUSTOM-001,✓ COMPLETE,,0,,Complete
hooks/overview.md,hooks,16,@DOC:HOOK-OVERVIEW-001,✓ COMPLETE,,0,,Complete
hooks/post-tool-use-hook.md,hooks,135,@DOC:HOOK-POST-001,✓ COMPLETE,,0,,Complete
hooks/pre-tool-use-hook.md,hooks,95,@DOC:HOOK-PRE-001,✓ COMPLETE,,0,,Complete
hooks/session-start-hook.md,hooks,16,@DOC:HOOK-SESSION-001,✓ COMPLETE,,0,,Complete
security/best-practices.md,security,12,@DOC:SEC-BEST-001,✓ COMPLETE,,0,,Complete
security/checklist.md,security,12,@DOC:SEC-CHECK-001,✓ COMPLETE,,0,,Complete
security/overview.md,security,138,@DOC:SEC-OVERVIEW-001,✓ COMPLETE,,0,,Complete
security/template-security.md,security,11,@DOC:SEC-TEMPLATE-001,✓ COMPLETE,,0,,Complete
skills/domain-tier.md,skills,36,UNTAGGED,@DOC:SKILL-DOMAIN-001,CRITICAL,1,2,Skills
skills/essentials-tier.md,skills,63,UNTAGGED,@DOC:SKILL-ESSENTIALS-001,CRITICAL,1,2,Skills
skills/foundation-tier.md,skills,75,UNTAGGED,@DOC:SKILL-FOUNDATION-001,CRITICAL,1,2,Skills
skills/language-tier.md,skills,68,UNTAGGED,@DOC:SKILL-LANGUAGE-001,CRITICAL,1,2,Skills
skills/overview.md,skills,90,UNTAGGED,@DOC:SKILL-OVERVIEW-001,CRITICAL,1.5,2,Skills
troubleshooting/common-errors.md,troubleshooting,22,@DOC:TROUBLESHOOT-ERROR-001,✓ COMPLETE,,0,,Complete
troubleshooting/debugging-guide.md,troubleshooting,18,@DOC:TROUBLESHOOT-DEBUG-001,✓ COMPLETE,,0,,Complete
troubleshooting/faq.md,troubleshooting,14,@DOC:TROUBLESHOOT-FAQ-001,✓ COMPLETE,,0,,Complete
